guide_slug,group,category,subcategory,business_name,address,city,state,zip,phone,website,email,description,editorial_blurb,tier_2026,accepting_new_patients,serves_pediatrics,offers_military_discount,tags,needs_research,notes
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Aldersgate Weekday Children's Ministry,6610 Vaughn Road,Montgomery,AL,36116,(334) 277.0880,aldersgateumc.org,,"Our mission is to provide quality childcare and education in a Christian environment that provides opportunities for spiritual, education, emotional and physical development.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Avalon Montessori,395 Ray Thorington Road,Montgomery,AL,36117,(334) 725.6797,avalonmontessorimgm.com,,"At Avalon Montessori School, we are committed to nurturing the individual gifts of each young child. We ai?m to provide an environment that promotes diversity, self-discovery, and a love of learning while empowering all students to reach their greatest potential.",,free,,,YES,military-discount,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Cloverdale Preschool Academy,608 E. Fairview Ave,Montgomery,AL,36106,(334)265.7488,cloverdalepreschoolacademy.com,,"A fun and friendly learning environment where your child can begin their educational journey with confidence and lots of love along the way.
Christian/ Baptist  Curriculum: Abeka",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Eastmont Christian Kindergarten,4505 Atlanta Hwy.,Montgomery,AL,36109,(334) 239.8555,eastmont.org,,Our dedicated staff is eager to serve your family by providing a loving environment for your child while challenging them academically and nurturing them spiritually.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Evangel Christian Preschool,3975 Vaughn Road,Montgomery,AL,36106,(334) 273.0730,ecalions.org,,We provide a safe and loving environment for children ages 6 weeks to 3 year across the River Region.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,First United Methodist Church Early Childhood Development Center,2416 W. Cloverdale Park,Montgomery,AL,36106,(334) 834.8964,fumcmontgomery.org,,"We partner with families to help children grow physically, emotionally, mentally, socially, and spiritually for children 6 weeks to 5 years.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Frazer Christian Preschool,6000 Atlanta Hwy.,Montgomery,AL,36117,(334) 495.6370,frazer.church,,"Our program that provides students with numerous opportunities to develop strong social, academic and spiritual foundations.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Gracepointe Child Development Center,1565 Ray Thorington Road,Montgomery,AL,36117,(205) 799.7570,grace-pointe.com,,We run an intentional play based center. Our teachers use developmentally appropriate practice skills to teach your child from ages 6 weeks to 5 years.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Heritage Child Development Center,1849 Perry Hill Road,Montgomery,AL,36016,(334) 279.0643,heritagecdc.net,,"Our goal is to lead people into a life changing relationship with Jesus Christ in Montgomery and beyond by providing excellent early childhood education that helps preschoolers grow spiritually, intellectually, physically, socially and emotionally.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Hooper Academy Early Learning Center,380 Fischer Road,Hope Hull,AL,36043,(334) 288.2770,hooperacademy.org,,"We offer a quality program with unconditional love and care for each child. Our center provides structured schedules which promote each child's physical, emotional, intellectual, language, and motor skills development.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Macon East,15396 Vaughn Road,Cecil,AL,36013,(334) 277.6566,maconeast.net,,"Each student is a valued individual with unique physical, social, emotional and intellectual needs.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Montessori @ Mulberry,2034 Clubview Street,Montgomery,AL,36106,(334) 265.7733,montessoriatmulberry.com,,Montessori at Mulberry serves children 18 months to 6 years of age.  Children learn at their own pace and with a variety of hands on materials geared specifically for them.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Montessori Hampstead,"5251 Hampstead High Street, Suite #111",Montgomery,AL,36116,(334) 356-1969,"MSHMontgomery.org
Facebook: facebook.com/MontessoriatHampstead",,"We offer a structured yet individual, child-driven approach to education based on Montessori method",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,St. James  Christian Preschool,9045 Vaughn Road,Montgomery,AL,36116,(334) 481.0722,sjlife.com,,"Saint James Christian Preschool is dedicated to providing a loving, nurturing environment, which allows a child to grow intellectually, emotionally, and spiritually.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Taylor Road Baptist Mother's Day Out Program,1685 Taylor Road,Montgomery,AL,36117,(334) 271.3363,taylorroad.org,,"Providing a safe, nurturing environment for children since 1991.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,The Learning Tree Child Development Center,4120 Carmichael Road and 3335 Woodley Road,Montgomery,AL,36106,(334) 271.4733 and (334) 284.5560,,,Your Children deserve the best so why not give it to them. We pride ourselves in having the best childcare program for ages 6 weeks to 12 years.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Vaughn Park Church of Christ Mother's Day Out,3800 Vaughn Road,Montgomery,AL,36106,(334) 272.2665,vaughnpark.com,,Mother's Day Out at Vaughn Park is a half-day program full of fun and learning. We accept babies at 6 weeks through 4 years old.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Montgomery,Vaughn Road Preschool,8790 Vaughn Road,Montgomery,AL,36117,(334) 277.4815,,,"To nurture and educate the whole child in a loving, Christian environment. We accept children 6 weeks to preschool age.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Pike Road,AIM Academy,530 Antioch Lane,Pike  Road,AL,36064,(334) 509.4225,youraimacademy.com,,"6 weeks of age to Pre-K and afterschool program and summer camp for ages 5 to 12. Class is led by a Birth to Kindergarten state certified teacher. Student progress is continuously assessed and evaluated on specific developmental milestones and objectives.  Through observations and interactions, the assessment outcomes are utilized to further tailor or scaffold our daily lesson plans and activities for each child.",,free,,,YES,military-discount,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Prattville-Millbrook,First Baptist Preschool & Kindergarten,138 South Washington Street,Prattville,AL,36104,(334) 361.9481,fbcprattville.org,,We believe it's important to plant seeds of faith early in a child's life. Our preschool ministry is a place children can be themselves and learn more about the One who created and deeply loves them.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Prattville-Millbrook,First Presbyterian Church Kindergarten,211 South Chestnut Street,Prattville,AL,36067,(334) 365.6387,fpkprattville.com,,"Our desire is to help your child grow academically, socially, emotionally and spiritually while he or she is here with us throughout the school year.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Wetumpka,First Baptist Child Development Center,205 W. Bridge Street,Wetumpka,AL,36092,(334) 567.3319,fbc/wetumpka.org,,"Our goal  is to provide a well-rounded ministry of nurturing for your child, as well as a system of encouragement and support for parents and grandparents.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Wetumpka,First Steps Mother's Day Out and Preschool,1266 Dozier Road,Wetumpka,AL,36093,(334) 221.5681,Facebook: First Steps RBC,,"We offer a Christ centered environment, small classes with age appropriate curriculum, designed to foster a love of learning and prepare your child for academic success in the years to come.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Childcare & Preschool,Childcare Centers,Wetumpka,"Wetumpka Preschool and Child Development Center and Periscope, LLC",502 N. Bridge Street,Wetumpka,AL,36092,(334) 567.4689,gatewaypreschool.weebly.com,,"Our goal for preschool is to foster the development of a healthy self-image which will assist the child to regard themselves as people who are important, good friends of classmates, good learners and eager participants in Preschool and whole school activities.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Community & Connection,Mom Groups & Family Support,,Century Strong Moms,11 Chapel Hill Street,Pike Road,AL,36064,,,,Dedicated in helping moms in the community be STRONG moms. Please email lifegroups@century.church,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Community & Connection,Mom Groups & Family Support,,Mom2Mom,Frazer Church,Montgomery,AL,36117,,frazer.church,,Playgroup to connect mother of newborn to 5 years old. Email mom2mom@frazer.church,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Community & Connection,Mom Groups & Family Support,,Montgomery Multiples,,Montgomery,AL,,,sites.google.com/site/montgomerymultiples/home,,"Offers support to mothers of twins, triplet and more.  They offer moms night out with dinner once a month.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Community & Connection,Mom Groups & Family Support,,Montgomery Museum of Fine Arts,One Museum Drive,Montgomery,AL,36117,(334) 240.4333,mmfa.org,,Pre-school and school age classes for parent/child partners.,,free,,,,,,2025 entry — verify for 2026
