title,start_date,start_time,end_date,end_time,location,address,email,phone,website,cost,description
Tuck Everlasting The Musical,"Now-May 10, 2026",,,,Faulkner Theatre,"5346 Atlanta Highway, Montgomery, AL 36109",,,https://www.pikeroadtheatrecompany.org/shows/tuck-everlasting-the-musical,Tickets are $25 — advance purchase is recommended.,"Join us for a moving, family-friendly theatrical experience that celebrates courage, the power of choice, and the fleeting moments that make life meaningful."
Perfect Arrangement,"Now-May 10, 2026",7:00 PM,,,Cloverdale Playhouse,"960 Cloverdale Road, Montgomery, AL 36106",,,https://www.cloverdaleplayhouse.org,$12.51,"It's 1950, and new colors are being added to the Red Scare. Two U.S. State Department employees, Bob and Norma, have been tasked with identifying sexual deviants within their ranks. There's just one problem: Both Bob and Norma are gay, and have married each other's partners as a carefully constructed cover. Inspired by the true story of the earliest stirrings of the American gay rights movement, madcap classic sitcom-style laughs give way to provocative drama as two ""All-American"" couples are forced to stare down the closet door."
Prattville CityFest,"Friday, May 1, 2026",5:00?PM,,9:00?PM,,"124 West Main Street, Prattville, AL 36067",thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/ramblin-ricky-tate-p2mkh,,Prattville CityFest will be taking place in downtown Prattville.
Art After Five: Last Call for This Land Is Your Land,"Friday, May 1, 2026",6:00 PM,,8:00 PM,Montgomery Museum of Fine Arts,"1 Museum Drive, Montgomery, AL 36117",,,https://mmfa.org/event/art-after-five-last-call-for-this-land-is-your-land,This event is free and open to the public.,"Join us in saying goodbye to the This Land Is Your Land exhibition. Come unwind and discover the restorative properties of nature and sound. Enjoy a cash bar featuring a specialty cocktail, savor light hors d'oeuvres, and be in community through at and conversation."
Riverbend Bourbon & Brews,"Friday, May 1, 2026",6:00 PM,,10:00 PM,Riverfront Park,"355 Commerce Street, Montgomery, Alabama 36104",,,https://www.montgomeryal.gov/Home/Components/Calendar/Event/11322/4288,"$10 Military Discount, $5 League of Municipalities Attendees Discount.","Come enjoy a great night of drinks, food, music, and fun in downtown Montgomery. $40 per person, Discounts available for Military and League of Municipalities attendees."
Montgomery Home Show,"May 1, 2026 - May 3, 2026",10:00 AM,,6:00 PM,Garrett Coliseum,"1555 Federal Drive, Montgomery, AL 36107",info@nationwideexpos.com,(800) 201-4663,https://montgomeryhomeshow.com,free,"This free event is the perfect opportunity for homeowners to save BIG on all home improvement projects and meet with local and national vendors face to face, offering valuable insights and guidance to help you turn your vision into reality."
The Jewell Joy Cup 2026,"Saturday, May 2, 2026",8:00 AM,,2:00 PM,Lagoon Tennis Park,"2855 Lagoon Park Dr, Montgomery, AL 36109",,,https://www.dreamcourt.org/unified-doubles-play-day,,
Magical Creatures Education Program,"Saturday, May 2, 2026",10:00 AM,,12:00 PM,"Montgomery Zoo and Mann Wildlife Museum, 2301 Coliseum Parkway, Montgomery, Alabama 36110",,zooinfo@montgomeryal.gov,(334) 625-4909,https://www.montgomeryal.gov/Home/Components/Calendar/Event/9619/4288,"Montgomery Zoo member: Accompanying adults: FREE, Children (4-12 years old): $21, Non-Zoo member: Accompanying adults: $19, Children (4-12 years old): $35","Meet some of the magical animals that are featured in the movies like Harry Potter and The Hobbit. You will get a chance to meet animals up close, learn about them in their habitats, and take home some special prizes for yourself. Advanced reservations required. All participants must be registered no later than Friday, May 1 @ 12pm (noon). This allows the opportunity to prepare for the proper number of participants. Thank you for your cooperation. NO TICKETS WILL BE SOLD AT THE DOOR ON THE DAY OF THE EVENT!"
Patriotic Still Life in Oil Workshop: Barbara Davis,"Saturday, May 2, 2026",10:00 AM,,4:00 PM,Pike Road Arts Center,"944 Wallahatchie Rd, Pike Rd, AL 36064",jarnold@pikeroad.us,(334) 272-9883,https://lp.constantcontactpages.com/ev/reg/n8md3hk,,"Join us Barbara Davis as she guides you through still life setup and design, with a focus on expressive, impressionistic brushwork using color."
Prattville CityFest: Live at The Lyric,"Saturday, May 2, 2026",11:00?AM,,4:00?PM,"124 West Main Street, Prattville, AL 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/ramblin-ricky-tate-p2mkh-pbmxr,,Prattville CityFest will be taking place in downtown Prattville. Several bands will be playing at The Lyric during the day as part of CityFest.
Spring Explosion 100,"Saturday, May 2, 2026",5:00 PM,,,"Montgomery Motor Speedway, 480 Booth Road, Montgomery, AL 36108",,gm@montgomerymotorspeedway.org,(334) 262-6101,https://www.montgomerymotorspeedway.org,,"This night of racing features the Show Me The Money Pro Late Models, Late Model Sportsmen, Street Stocks, and Crown Stocks."
ALOE – Derby Day Destination,"Saturday, May 2, 2026",8:00 PM,,,"2596 Eastern Blvd, Montgomery, AL 36117",,,,https://aloeismyplace.com,,Live Derby viewing • Live DJ • Fashion • Vendor Village • Cash Prize Roll-Down.
Watercolor Workshop: Mother's Day Card with Kimmie Bothwell,"Sunday, May 3, 2026",11:00 AM,,4:00 PM,Pike Road Arts Center,"944 Wallahatchie Rd, Pike Rd, AL 36064",patty@pikeroad.us,,https://lp.constantcontactpages.com/ev/reg/3vq6u88,Registration is required and costs $25/per person,Celebrate Mother's Day with creativity and hear in this special watercolor workshop led by Kimmie Bothwell at the Pike Road Arts Council. This is a ONE-DAY workshop that will take place on May 3 from 1pm-4pm to make Mother's Day cards. The deadline to register is May 2!
Montgomery RnB and Blues Picnic,"Sunday, May 3, 2026",1:00 PM,,9:00 PM,Riverwalk Amphitheater,"355 Coosa St, Montgomery, AL 36104",,,https://rnbbluespicnic.com,,"Yes we are still healing & it feels good to be around great beautiful people. A event with good food, music, wellness and healing vendors, games and more. Come join us for Montgomery's R&B and Blues Picnic in the heart of the city at River Walk Amphitheater . We will be playing the best of Classic and New R&b and Southern Soul Blues Music. Bring your own cooler (No Glass)."
May the Fourth Be With You,"Monday, May 4, 2026",6:00 PM,,7:00 PM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info/event/may-the-fourth-be-with-you,,Goopa Teens and Tweens! Join us for some crafting and fun. Snacks will be served. Ages 12 – 18 years.
One Hour/One Poem: Discover the verse of Langston Hughes,"Tuesday, May 5, 2026",5:30 PM,,7:00 PM,The NewSouth Bookstore,"105 South Court Street, Montgomery, AL 36104",jessala.white@newsouthbookstore.com,(334) 834-3556,https://www.newsouthbookstore.com,,"Make a date with a poem and Dr. Susie Paul. Off the success in 2025 of One Hour/One Poem, Paul returns to The NewSouth Bookstore to teach one great nineteenth- or early twentieth-century poem in each of four sessions of an hour or less. The program is a deep dive into the work of four significant American writers, all giants of the poetic form: Edgar Allan Poe, Paul Laurence Dunbar, Robert Frost, and Langston Hughes. Paul is a master educator with a deep love of poetry, who is thrilled to have the opportunity to teach these works. ""The Weary Blues"" by Langston Hughes, written in 1926, is the subject of her fourth session, scheduled for Tuesday. Hope you can join us."
Mini Makers: Art in Nature (Waitlist Only),"May 5 & 9, 2026",9:30 AM,,10:30 AM,Montgomery Museum of Fine Arts,"1 Museum Drive, Montgomery, AL 36117",kahobbs@mmfa.org,(334) 625-4349,https://mmfa.org/event/mini-makers-art-in-nature,,"Mini Makers and their caregivers will explore how artists are inspired by the natural world through looking at landscapes and floral still lifes in the Museum's galleries and, weather permitting, a visit to the Sculpture Garden. Children will stretch and move like growing trees, explore natural textures, and create nature-inspired art. This hands-on class encourages curiosity, sensory exploration, and creative play in a supportive, structured environment."
5X7 Art Show and Sale,"Thursday, May 7, 2026",5:00 PM,,7:00 PM,Pike Road Arts Council,"944 Wallahatchie Rd, Pike Rd, AL 36064",patty@pikeroad.us,,https://www.pikeroad.us/events-1/5x7-art-show-and-sale-2,,"This special Pike Road event invites art enthusiasts and collectors alike to explore a collection like no other: each piece a small-scale marvel designed to delight and inspire. With around 200 pieces available, each no larger than 35 square inches and affordably priced at no more than $57, the public has an opportunity to acquire an original artwork that can add a touch of elegance to any space. Art will be accepted at the Pike Road Arts Center beginning on April 25, 2026. The Arts Center & Water House Gallery are open on Saturdays from 10 AM – 4 PM and Sundays from 1-4 PM."
Ramblin' Ricky Tate: Live at The Lyric,"Thursday, May 7, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/ramblin-ricky-tate,,"Ramblin' Ricky Tate is a Country Blues, Bluegrass, & Folk singer from Birmingham, Alabama. Ricky is a founding member of Jug Band Hall of Fame inductees the Steel City Jug Slammers and over the years has traveled far and wide, singing from street corners to theaters and every dive bar in between. Ricky sings ruckus-filled folk, bluegrass, and lonesome blues."
The Night Caps: Live at The Lyric,"Friday, May 8, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/ramblin-ricky-tate-ycmg7,,". The Night Caps are a Prattville favorite playing Blues, Rock R&B and everything in between."
"The Black Jacket Symphony Bon Jovi ""Slippery When Wet""","Friday, May 8, 2026",7:30 PM,,,Montgomery Performing Arts Center,"201 Tallapoosa Street, Montgomery, AL 36104",,(334) 481-5100,https://mpaconline.org/the-black-jacket-symphony,Ticket Prices: $40 - $45.,"Remember putting on an album and listening from start to finish? Relive that moment with a live concert experience unlike any other as The Black Jacket Symphony recreates a select classic album live in its entirety—note for note, sound for sound—plus a full set of greatest hits from the evening's artist."
Moms & Mimosa's Brunch Experience!,"Saturday, May 9, 2026",11:00 AM,,,Itta Bena,"1801 Eddie L Tullis Road, Montgomery, AL 36117",,,https://www.opentable.com/r/itta-bena-montgomery-montgomery,$25.00 - $50.00 per person.,"The Mother's Day Prelude: Mimosas & Moments is not a buffet—it's a chef-curated brunch experience designed for guests who value quality, atmosphere, and seamless service over crowded, traditional dining. This exclusive Saturday event offers a refined three-course menu, allowing each guest to select their starter, entrée, and dessert—ensuring every plate is prepared with precision and delivered at the level expected of Itta Bena!"
Alice's Tea Party at the Fitz!,"Saturday, May 9, 2026",12:00 PM,,,The Scott and Zelda Fitzgerald Museum,"919 Felder Avenue, Apt B, Montgomery, AL 36106",,,https://www.eventbrite.com/e/alices-tea-party-at-the-fitz-tickets-1985754508189,Price:$29,"A pre-Mother's Day Alice's Adventures in Wonderland themed Tea Party. Alice's Tea Party will be a family-friendly where families are encouraged to dress up as their favorite characters from Alice's Adventures in Wonderland, or Sunday clothes, and enjoy an afternoon tea party."
Curke Dudley and Friends: Live at The Lyric,"Saturday, May 9, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/jahz-live-at-the-lyric-ct9cl-npchf-p9tk8-bfj3z,,"Curke Dudley is a living musical legend, from a storied career at the apex of modern American music in 1970's Memphis to his current status as an elder statesman of the River Region music scene. Curke's show ranges from blues and soul to funk, Gospel and everything in between. Don't miss this epic artist as he takes over The Lyric stage!"
Mother's Day at Zoo,"Sunday, May 10, 2026",9:30 AM,,3:30 PM,Montgomery Zoo and Mann Wildlife Museum,"2301 Coliseum Parkway, Montgomery, Alabama 36110",zooinfo@montgomeryal.gov,(334) 625-4905,https://www.montgomeryal.gov/Home/Components/Calendar/Event/5996/4288,,"Celebrate Mother's Day at the Montgomery Zoo and Mann Wildlife Learning Museum. All Moms receive FREE admission, so make plans to join us for Mom's special day."
Mother's Day Cruise: Mom's & Mimosas on the Alabama River!,"Sunday, May 10, 2026",11:00 AM,,8:45 PM,Sip-n-Cycle Pedal Cruise,"355 Commerce Street, Montgomery, Montgomery, AL, 36104",,(334) 399-2387,https://www.facebook.com/events/1307452411329712,,"Celebrate Mom in style aboard Sip-n-Cycle Pedal Cruise! Treat her to a fun, relaxing ride on the Alabama River filled with great music, beautiful views, and unforgettable moments. Bring your favorite drinks and snacks, kick back, and enjoy a one-of-a-kind experience with family and friends. Whether you're pedaling, dancing, or just soaking in the scenery, this is the perfect way to show Mom how much she means to you! Spots are limited—book your cruise today!"
Nations and Cannons,"Monday, May 11, 2026",4:00 PM,,8:00 PM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info/event/nations-and-cannons/2026-05-11,,"Join the Spy and the Hill Adventure to experience firsthand, the espionage and bravery at the Battle of Bunker Hill! Nations and Cannons is a historically focused D&D (5th Edition) campaign set during the American Revolution (1775-1783). This program is for ages 12-17. Space is limited, and registration is required. Call or come by the library to sign up."
"Four Poets, for the Pure Pleasure of It!","Tuesday, May 12, 2026",5:30 PM,,7:00 PM,The NewSouth Bookstore,"105 South Court Street, Montgomery, AL 36104",jessala.white@newsouthbookstore.com,(334) 834-3556,https://www.newsouthbookstore.com,,"Four of the finest poets working in the greater Montgomery area join us on Tuesday for a group reading of their newly published works and/or works in progress. It's positively celebratory! Join us for an hour of listening fun with Garrett Ashley, Ken Autrey, Kate Gaskin, and Catherine Hamrick."
MPAC Live Presents Chicago,"Wednesday, May 13, 2026",7:30 PM,,,Montgomery Performing Arts Center,"201 Tallapoosa Street, Montgomery, AL 36104",,(334) 481-5100,https://mpaconline.org/chicago,,Live in Concert.
Art in the Library – Closing Reception,"Thursday, May 14, 2026",4:00 PM,,5:00 pm,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info/event/art-in-the-library-closing-reception-2,,Join us for a closing reception for the Art in the Library program. All participants will receive an award for submitting an art piece. Snacks and water will be served.
Daniel Rood with In the Shadow of the Great House,"Thursday, May 14, 2026",5:30 PM,,7:00 PM,The NewSouth Bookstore,"105 South Court Street, Montgomery, AL 36104",jessala.white@newsouthbookstore.com,(334) 834-3556,https://www.newsouthbookstore.com,,"It is our great pleasure to welcome Daniel Rood to The NewSouth Bookstore for a talk about his new book, In the Shadow of the Great House, an astonishing ecological, architectural, cultural, and, above all, economic history of one of the primary emblems and engines of American history. It's an revelatory and important new work. Join us for this special event."
Kiana Scott: Live at The Lyric,"Thursday, May 14, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/tony-brook-hzjlg,,"With a lifelong passion for music, Kiana stepped into the spotlight after winning an open mic competition in 2019. Since then, she has been captivating audiences across various venues, blending R&B, pop, and classic hits into dynamic performances. Known for her vibrant energy and natural crowd connection, Kiana turns every set into an experience. With powerful vocals and a lively presence, she brings authenticity, fun, and emotion to every stage she touches."
Exploring Cold Wax in Abstract and Semi Abstract Landscape with Connie Collier,"Friday, May 15, 2026",10:00 AM,,1:00 PM,Pike Road Arts Council,"944 Wallahatchie Rd, Pike Rd, AL 36064",jarnold@pikeroad.us,(334) 272-9883,https://www.pikeroad.us/events-1/exploring-cold-wax-in-abstract-and-semi-abstract-landscape-with-connie-collier-1,,"Dive into layered texture and movement through cold wax painting, creating semi-abstract landscapes in this hands-on, two-day guided workshop experience with Connie Collier! The cost for this workshop is $65 per participant. This workshop is limited to 10 attendees to allow for a focused and engaging experience. REGISTER HERE: https://lp.constantcontactpages.com/ev/reg/nadq9pf by May 1 to secure your spot!"
Richard Incorporated: Live at The Lyric,"Friday, May 15, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/richard-inc,,"Richard Inc. is a Prattville-based alternative indie band known for delivering high-energy live performances rooted in groove, soul, and experimental sound. Often described as a ""power band"", the group blends funk, rock, and rhythmic improvisation to create a dynamic and unpredictable live experience."
National Tennis Month: Family Hit to Be Fit,"Friday, May 15, 2026",6:00 PM,,7:30 PM,O'Connor Tennis Center,"500 Anderson St., Montgomery, Alabama 36107",tennismgm@gmail.com,(334) 398-0612,https://playtennis.usta.com/Programming/onecommunity/Coaching/Session/dc9373ca-3334-4b5a-99ea-7a803d9bccc9?location=Montgomery,,"Grab your sneakers and bring the whole crew for an evening of fun, fitness, and family bonding! Join us for Family Hit to Be Fit, a special National Tennis Month celebration designed to get families moving together on the court. Whether you're brand?new to tennis or already a seasoned player, this event offers the perfect opportunity to enjoy the game in a relaxed, welcoming environment. No experience is necessary—bring your energy and enthusiasm! Loaner racquets are available. Come out, learn something new, and kickstart a healthy lifestyle as a family. We can't wait to see you on the courts!"
Montgomery Jubilee Runs,"Saturday, May 16, 2026",7:30AM,,,Old Alabama Town,"301 Columbus Street, Montgomery, AL 36104",,,https://runsignup.com/Race/AL/Montgomery/JubileeRuns,Price:$30,Come join the excitement of Montgomery's longest standing competitive running event! Montgomery Jubilee Runs are now set. This iconic Montgomery event features competitive runs/walk on a 8K USATF certified course and the Peggy Lanier 2-Mile. The Road Runners Club of America (RRCA) has bestowed the designation of Alabama 8K State Championship for this race!
National Tennis Month: Ladies Connection,"Saturday, May 16, 2026",9:00 AM,,11:00 AM,O'Connor Tennis Center,"500 Anderson St., Montgomery, Alabama 36107",tennismgm@gmail.com,(334) 398-0612,https://playtennis.usta.com/Programming/onecommunity/Coaching/Session/02be1f93-30c1-44b0-a2f2-03e3a0679ada?location=Montgomery,,"Celebrate National Tennis Month with Ladies Connection—a fun, welcoming morning designed just for women ages 21+ of all skill levels! Whether you've never picked up a racquet or you play every week, this event is all about connection, confidence, and enjoying the sport together. Loaner racquets will be available, making it easy for anyone to jump in and give tennis a try. Come ready to learn the basics, sharpen your skills, make new friends, and have a great time on the court. Join us for an uplifting morning of movement, laughter, and community. Let's celebrate National Tennis Month the best way we know how—by playing!"
Animal Enrichment Day,"Saturday, May 16, 2026",10:00 AM,,3:00 PM,Montgomery Zoo and Mann Wildlife Museum,"2301 Coliseum Parkway, Montgomery, Alabama 36110",zooinfo@montgomeryal.gov,(334) 625-4905,https://www.montgomeryal.gov/Home/Components/Calendar/Event/694/4288,,"The goal of Animal Enrichment Day is to safely stimulate and reproduce behaviors that are natural for each animal. Placing different stimuli in the animals' environment allows animals to use their five basic senses while they exercise. It is a lot of trial and error, but it is always fun."
Kayak 101 Class,"Saturday, May 16, 2026",10:00 AM,,4:00 PM,"1100 Maxwell Blvd, Montgomery, Alabama 36104",,info@montgomerywhitewater.com,(334) 746-6530,https://montgomerywhitewater.com/upcoming-events/kayak-101-class,"Class registration is $15, spots are limited.","Summer is right around the corner and kayaking is a great way to enjoy Alabama's beautiful outdoors! Alabama Law Enforcement Agency, Alabama Department of Conservation and Natural Resources, Montgomery Whitewater and the certified paddlesports instructors of ACA Alabama are teaming up to get you started! Register here: https://secure.rocket-rez.com/RocketWeb2/5507e8d3e040ea4c/item/2/1"
"1,000 Books Before Kindergarten Graduation Celebration","Saturday, May 16, 2026",10:30 AM,,11:30 AM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info/event/1000-books-before-kindergarten-graduation-celebration,,"Join us as we celebrate young readers and their achievement of having read 1,000 Books Before Kindergarten!"
Gumptown Brass Band: Live at The Lyric,"Saturday, May 16, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL, 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/gumptown-brass,,Gumptown Brass Band plays an authentic mix of New Orleans style Secomd Line marching band music and modern jazz mixed with R&B. They are known as one of the premier party bands in the region. Come out to The Lyric for a great time and an eclectic high-energy show!
A Fine & Dandy Affair,"Saturday, May 16, 2026",7:00 PM,,11:00 PM,"Blount Cultural Park, Montgomery, AL",,,,https://www.eventbrite.com/e/a-fine-dandy-affairtm-tickets-1987133825765?aff=oddtdtcreator#location,$108.55,"A Fine & Dandy Affair is Montgomery's signature multi-day cultural experience that positions it as a destination for art, culture, wellness, and economic empowerment—serving as an official Road to Essence Festival of Culture activation. The signature event will be like the ""Met Gala of Montgomery"" and will feature a high-impact cultural moment that combines fashion, performance, storytelling, and recognition of cultural leaders, while under a tent, enjoying live music."
Emo Orchestra With The Spill Canvas,"Saturday, May 16, 2026",8:00 PM,,,Montgomery Performing Arts Center,"201 Tallapoosa Street, Montgomery, AL 36104",,(334) 481-5100,https://mpaconline.org/emo-orchestra,Ticket Prices: $27.50 - $47.50,"Live in Concert. For emo music lovers and orchestra aficionados alike, Emo Orchestra is a new live experience that brings some of the most beloved emo songs of your youth to the theater stage with a full orchestra arrangement."
"Gregory O'Malley with ""The Escapes of David George""","Sunday, May 17, 2026",3:00pm,,4:30pm,The NewSouth Bookstore,"105 S. Court Street, Montgomery, AL 36104",,,https://www.newsouthbookstore.com/events,,"From a prize-winning historian comes a dramatic story about a Black man's relentless search for freedom in Revolutionary-era America. Piecing together archival records and David George's own brief account of his life?the earliest written testimony by a fugitive enslaved person in North America?Gregory O'Malley presents a thrilling narrative and unique perspective on our nation's origins, principles, and contradictions."
"Shannon Milliman talk about ""What If God Is? What If I Am?""","Tuesday, May 19, 2026",5:30pm,,7:00pm,The NewSouth Bookstore,"105 S. Court Street, Montgomery, AL 36104",,,https://www.newsouthbookstore.com/events,,"It'll be a lovely evening on Thursday, May 19 at 5:30pm when we welcome Shannon Milliman, a nationally staged playwright, poet/essayist, and TEDx speaker, whose work blends humor, heart, and a keen eye for the beauty in everyday moments. She will read from her book of selected verse, What If God Is? What If I Am?, and a work in progress, These Mountains Should Be Ours. Let's welcome this talented Alabama transplant!"
Sun Belt Conference Baseball Championship,"May 19, 2026 - May 24, 2026",,,,DABOS Park,"200 Coosa Street, Montgomery, AL 36104",,,https://experiencemontgomeryal.org/sun-belt-baseball-championship,,The 2026 Sun Belt Baseball Conference returns to DABOS Stadium in Montgomery this May. Come experience one of the best college baseball conferences in the country in this exciting ten-team bracket! Sun Belt Baseball ranks among the nation's elite in NCAA postseason success and MLB draft picks. Come experience Sun Belt Baseball. Get your tickets today!
