Advertiser,Category,Business,Address,City ,State,Zip,Phone,Website,Facebook,Email,Description
a,Art and Music,Abrakadoodle Art Education,,Montgomery,AL,,Abrakadoodle Art Education,abrakadoodle.com/al-montgomery-register/,,mcornwell@abrakadoodle.com,"Classes hosted at your school. Plus, Home School and Studio classes throughout the Fall and Spring. Online registration is open now!

We also offer summer camps, parties, glitter tattoos and face painting."
,Art and Music,Guitar Center,2572 Eastern Blvd,Montgomery,AL,36117,(334) 396-6245,stores.guitarcenter.com/montgomery,Guitar Center,,"Guitar Center offers private 1-on-1 music lessons. Learning to play music can be an amazing, life-changing experience. Our fully-engaging lesson program provides a solid academic foundation and at the same time, encourages students to express themselves through music and helps them discover their inner artist. "
a,Art and Music,Montgomery Museum of Fine Arts: Studio Programs,1 Museum Drive,Montgomery,AL,36117,(334) 240.4365,mmfa.org,Montgomery Museum of Fine Arts,bmorrison@mmfa.org,"Drawing and painting for preschoolers, children and adults. Afternoons and on weekends. Call for class, times, and cost information. Scholarships are available. Classes begin in September.  

Teens, ages 13 and up, are welcome to join! For more information, please contact epalmer@mmfa.org"
,Art and Music,Montgomery Music Project,507 Columbus St.,Montgomery,AL,36104,(334) 240.4004,montgomerysymphony.org,Montgomery Music Project,montgomerymusicproject@gmail.com,"The mission of the Montgomery Music Project (MMP) is to develop young people and bring communities together through music. We do this by delivering affordable, high-quality music instruction to the children of Montgomery and the River Region and by uniting diverse geographic, ethnic, and social-economic communities under the umbrella of the arts. 2026/2027 Montgomery Music Project classes will begin late August. Please check our Facebook page/website for updates. "
,Art and Music,Montgomery Symphony Youth Orchestra,507 Columbus Street,Montgomery,AL,36104,(334) 414.1261,montgomerysymphony.org ,Montgomery Symphony Orchestra,rdrawls@charter.net,Runs concurrent with the school year. Audition date will be in September. Please check our website for updates. 
,Art and Music,Music Education on Wheels,104 Mendel Pkwy.,Montgomery,AL,36117,(334) 676.1449,M.E.O.W. or at our website meowacademy.com,Facebook under Music Education on Wheels ,meowforschool@gmail.com,M.E.O.W. is designed the positive influence of music within the education system. Group and private music lessons designed to make sure each student develops a lifelong relationship with music. 
,Art and Music,P'Zazz Art Studio,1812 Glynnwood Drive,Prattville,AL,36066,(334) 354.1975,pzazzart.com,P'zazz Art Studio,pzazzart@gmail.com,Fall classes start in  September. Pick a day and time that fit your schedule. Classes meet once a week. $60 for the month. $20 supply fee per semester. This covers supplies for Sept. – Dec. After school and Homeschool classes available. 
,Art and Music,Suncho School of Music,,Wetumpka,AL,36093,(334) 625.0306,sunchomusic.com,Suncho School of Music,sunchomusic@gmail.com,"Learn to play the music that you love to listen to! We provide excellent private lessons in guitar, piano, singing, drums, and ukulele. We teach kids, teens, and adults ages 5 and up. We also teach beginner, intermediate, and advanced levels. Our lessons can take place in our Wetumpka home studio for local students, or online for learners outside of the area. We teach technique, music theory, and songs in the student's favorite musical styles. "
,Bowling,BAMA Lanes,3020 Atlanta Highway,Montgomery,AL,36109,(334) 272.5423,bamalanes.com,Bama Lanes Montgomery,,Youth leagues on Fridays at 6:30. Ages 3-20.  Pre-registration with free bowling.
,Bowling,BAMA Lanes in Prattville,1734 East Main Street,Prattville,AL,36066,(334) 358.8600,bamalanesprattville.com,Bama Lanes of Prattville,,Youth leagues on Saturdays. Ages 3-20. Registration will begin  in August. Youth leagues start in September. Please call for more information. Free bowling with paid membership. Please call for more information.
