advertiser,category,business,address,city,state,zip,phone,website,email,ages,description
a,Art and Music,Abrakadoodle Art Education,,Montgomery,AL,,Abrakadoodle Art Education,https://abrakadoodle.com/al-montgomery-register,mcornwell@abrakadoodle.com,,"Classes hosted at your school. Plus, Home School and Studio classes throughout the Fall and Spring. Online registration is open now! We also offer summer camps, parties, glitter tattoos and face painting."
,Art and Music,Guitar Center,2572 Eastern Blvd,Montgomery,AL,36117,(334) 396-6245,https://stores.guitarcenter.com/montgomery,,,"Guitar Center offers private 1-on-1 music lessons. Learning to play music can be an amazing, life-changing experience. Our fully-engaging lesson program provides a solid academic foundation and at the same time, encourages students to express themselves through music and helps them discover their inner artist."
,Art and Music,Montgomery Museum of Fine Arts: Studio Programs,1 Museum Drive,Montgomery,AL,36117,(334) 240-4365,https://mmfa.org,bmorrison@mmfa.org,,"Drawing and painting for preschoolers, children and adults. Afternoons and on weekends. Call for class, times, and cost information. Scholarships are available. Classes begin in September. Visit our website at www.mmfa.org and click on education tab for more fall classes. Teens, ages 13 and up, are welcome to join! For more information, please contact epalmer@mmfa.org"
,Art and Music,Montgomery Music Project,507 Columbus St.,Montgomery,AL,36104,(334) 240-4004,https://montgomerysymphony.org,montgomerymusicproject@gmail.com,,"The mission of the Montgomery Music Project (MMP) is to develop young people and bring communities together through music. We do this by delivering affordable, high-quality music instruction to the children of Montgomery and the River Region and by uniting diverse geographic, ethnic, and social-economic communities under the umbrella of the arts. 2025/2026 Montgomery Music Project classes will begin late August. Please check our Facebook page/website for updates."
,Art and Music,Montgomery Symphony Youth Orchestra,507 Columbus Street,Montgomery,AL,36104,(334) 414-1261,https://montgomerysymphony.org,rdrawls@charter.net,,Runs concurrent with the school year. Audition date will be in September. Please check our website for updates.
,Art and Music,Music Education on Wheels,104 Mendel Pkwy.,Montgomery,AL,36117,(334) 676-1449,https://meowacademy.com,meowforschool@gmail.com,,M.E.O.W. is designed the positive influence of music within the education system. Group and private music lessons designed to make sure each student develops a lifelong relationship with music.
,Art and Music,P'Zazz Art Studio,1812 Glynnwood Drive,Prattville,AL,36066,(334) 354-1975,https://pzazzart.com,pzazzart@gmail.com,,Fall classes start in September. Pick a day and time that fit your schedule. Classes meet once a week. $50 for the month. $20 supply fee per semester. This covers supplies for Sept. – Dec. After school and Homeschool classes available.
,Art and Music,Suncho School of Music,,Wetumpka,AL,36093,(334) 625-0306,https://sunchomusic.com,sunchomusic@gmail.com,,"Learn to play the music that you love to listen to! We provide excellent private lessons in guitar, piano, singing, drums, and ukulele. We teach kids, teens, and adults ages 5 and up. We also teach beginner, intermediate, and advanced levels. Our lessons can take place in our Wetumpka home studio for local students, or online for learners outside of the area. We teach technique, music theory, and songs in the student's favorite musical styles."
,Bowling,BAMA Lanes,3020 Atlanta Highway,Montgomery,AL,36109,(334) 272-5423,https://bamalanes.com,,,Youth leagues on Fridays at 6:30. Ages 3-20. Pre-registration with free bowling.
,Bowling,BAMA Lanes in Prattville,1734 East Main Street,Prattville,AL,36066,(334) 358-8600,https://bamalanesprattville.com,,,Youth leagues on Saturdays. Ages 3-20. Registration will begin in August. Youth leagues start in September. Please call for more information. Free bowling with paid membership. Please call for more information.
,Bowling,Bowlero,1661 Eastern Blvd.,Montgomery,AL,36117,(334) 819-7171,https://bowlero.com,,,Youth Leagues will be starting up in the fall. You may come in and sign up anytime.
a,"Dance, Gymnastics & Cheer",Alabama Dance Theatre,1018 Madison Ave.,Montgomery,AL,36104,(334) 241-2590,https://alabamadancetheatre.org,,,"The Alabama Dance Theatre will be offering fall classes in classical ballet (pre-ballet to the professional level), pointe, modern, jazz, hip-hop, contemporary and tap. Classes will be held at the Armory Learning Arts Center, home of the Alabama Dance Theatre located at 1018 Madison Avenue."
a,"Dance, Gymnastics & Cheer",Alabama River Region Ballet,7981 Vaughn Road,Montgomery,AL,36116,(334) 356-5460,https://alabamariverregionballet.com,,,"Registration going on now. Classes begin in September. Classes offered in all levels of Classical Ballet, Pre-Pointe and Pointe, Creative Movement and Jazz. Audition information for the Alabama River Region Ballet's Youth Company will be announced on our website."
a,"Dance, Gymnastics & Cheer",Dance Generation,65 Ashburton Drive,Montgomery,AL,36117,(334) 395-4300,https://dancegenerationstudio.com,,,"Tap, Ballet, Jazz/Hip hop, Lyrical, Baton and Gymnastics Registration going on now at the Studio. Visit our Facebook page or please call 334-395-4300 or 334-283-2201"
a,"Dance, Gymnastics & Cheer",Tonya Speed's Dance Connection,3370 Harrison Rd.,Montgomery,AL,36109,(334) 277-1098,,,,"Fall registration will be August 11th from 4-6 p.m. Classes in Ballet, Tap, Tumbling, Jazz, Lyrical/Contemporary, Hip Hop, Baton and Competitive dance. Ages 2 ½ to Adult (beginner and advanced) Please call for class dates and times. Preschool classes also available on site."
a,"Dance, Gymnastics & Cheer","United Gym Stars & Cheer, L.L.C.",6100 Brewbaker Blvd.,Montgomery,AL,36116,(334) 284-2244,https://unitedgymstarsandcheer.com,,,"Offer Baby gym for ages 1&2, Kinder Gym for girls ages 3-4, Boys' Preschool for boys ages 3-5, Junior Gym ages 5 & 6 yrs., Boys' Progressive ages 6 and up, Girls' Progressive ages 7 and up. Beginning, Intermediate, & Advanced Tumbling. Cheer and Tumble for Girls' ages 9 and up. Please call for times and prices. Family discounts available. Registration on a monthly basis."
,"Dance, Gymnastics & Cheer",Armory Athletics Center,1018 Madison Ave.,Montgomery,AL,36104,(334) 241-2789,https://armoryathletics.com,armoryathletics1@gmail.com,,"Fall classes begin in August. Ongoing registration. Various leveled classes offered in Gymnastics, Tumbling, and Ninja. Ages 3-18, all skill levels. Cheer, Competitive Gymnastics Team, Private lessons, Monthly special events, Parents Night Out and Camps offered. Classes offered are 45-1 hour classes: Various evening class times Monday through Thursday. Please call for rates."
