advertiser,category,business,address,city,state,zip,phone,website,email,description
,Cakes/Finger Foods,Bruster's Ice Cream & Yogurt,"6835 Vaughn Road, 10684 Chantilly Pkwy",Montgomery,AL,36116,(334) 272.7369 or(334) 239-7004,https://brusters.com,,"Select from 8"" round cake or 9×12 cake Choose ice cream and one of the cake flavors. Pick a rich middle layer of fudge or caramel. All cakes are ""iced"" with fresh vanilla ice cream. We also have pies available."
,Cakes/Finger Foods,Cakeology,6250 Atlanta Hwy,Montgomery,AL,36117,(334) 647-1262,,cakeologyweets@yahoo.com,"We provide catering, cake shop, custom cakes, confectionary, bridal cakes, cupcakes, birthday cakes and Anniversary cakes."
,Cakes/Finger Foods,Crumbl Cookie,3012 Zelda Road 7736 Vaughn Road,Montgomery,AL,36106,(334) 523-0499 or (334) 230-7669,https://crumbl.com,,Bringing friends and family together over a box of the best cookies in the world! Our 170+ unique cookie flavors rotate weekly and are served in our famous pink box.
,Cakes/Finger Foods,Dairy Queen,6120 Atlanta Hwy and 3160 Taylor Road,Montgomery,AL,36117,(334) 244-9490 or (334) 272-1818,https://dairyqueen.com,,"8"" round, 10"" round, sheet cakes. Blizzard Cakes are 8 in"", 10 in"" and a sheet cake. All can be personalized at no additional charge."
,Cakes/Finger Foods,GiGi's Cupcakes,8141 Vaughn Road,Montgomery,AL,36116,(334) 356-3737,https://gigiscupcakesusa.com/montgomeryalabama,,Nothing makes a special day unforgettable like a custom cupcake or cake creation from Gigi's. Special selection offered every day of the week. You may order online at our website and pick up at the store or view our daily menu online.
,Cakes/Finger Foods,Great American Cookie Co. at Eastchase,7048 Eastchase Pkwy,Montgomery,AL,36117,(334) 356-8111,https://greatamericancookies.com,,"Choose from 16"" round, 16"" square and large Rectangular ."
,Cakes/Finger Foods,JoZettie's Cupcakes,1404 South Decatur Street and 2229 E. South Blvd.,Montgomery,AL,36104,(334) 239-9289 or (334) 676-1598,https://jozettiescupcakes.com,jzcupcakes@yahoo.com,"JoZettie's Cupcakes is please to offer a variety of cupcakes, cakes, cookies and pies for the holidays or your special occasion."
,Cakes/Finger Foods,Liger's Bakery,3040 McGehee Rd.,Montgomery,AL,36111,(334) 288-6550,https://ligersgood.com,,"Any flavor birthday cake, round or sheet, decorated with flowers, fruit, etc. Please call for flavors and pricing."
,Cakes/Finger Foods,Nothing But Bundt,7030 Eastchase Pkwy and 2582 Cobbs Ford Road,Montgomery and Prattville,AL,36117,(334) 956-6503 or (334) 568-1253,https://nothingbundtcakes.com,,"Select from 8"", 10"" and Tiered Bundt Cakes all crowned with our signature cream cheese frosting and perfect for all types of celebrations – birthdays, holidays, weddings, get togethers, office parties or just because!"
,Cakes/Finger Foods,Original Great American Cookie Co.,Eastdale Mall,Montgomery,AL,36117,(334) 271-1900,https://greatamericancookies.com,,"Up to 13 different varieties of cookies: 16"" round 16"" square and sheet cookie. Please call for prices."
,Entertainment,Big Green Bus,,Montgomery,AL,,(334) 324-4628,https://biggymbus.com,biggymbus@gmail.com,The Big Green Bus brings the party to you! The Big Green Bus is a school bus that has been converted into a safe and fun preschool gymnastics facility. Many elements of gymnastics are combined into one fun filled hour on board the Big Green Bus! The birthday child will receive a Big Green Bus shirt! Goody bags are included in the prices.
,Entertainment,DJ at Large,564 Oliver Road,Montgomery,AL,36117,(334) 260-9732,https://DJatLarge.com,dj@atlarge.com,"Offers a variety of music plus karaoke and light shows for your child's party. Video parties 12 ft. screens and popular videos. We can also provide the building for the party for an extra charge. Provides age appropriate music and will censor music to your discretion. Please call for pricing. ""We put you first."""
,Entertainment,Dynamite Magic & Balloons,,Montgomery,AL,,(334) 270-1234,https://dynamitemagicandballoons.com,,Helium tank rentals (varying prices and sizes). Yard Art and Balloon bouquet and decorations. Costumed characters available. Please visit our website to see the characters we have to offer.
,Entertainment,Kreative Moments,,Montgomery,AL,,(334) 233-4318,,kreativemomentsmgm@gmail.com,"Offering balloon twisting, face painting, and balloon art to make each event have that ""wow"" factor."
,Entertainment,Lil' Priss Parties,,Eclectic,AL,,(334) 226-6026,,,"We bring the party to you! Nerf Wars, Spa Parties, Princess Parties, Tea Parties, Tee Pee Sleep Over Parties and much, much more! Party packages for boys and girls. Please call for more details and pricing."
,Entertainment,Pretty and Pampered Bus,,Montgomery,AL,,(334) 402-3996,https://prettyandpamperedbus.com,,Pretty and Pampered Spa Bus for girls specially designed for young girls who love to get pampered and treated like a princess. Please visit our website to see our birthday party themes and details.
,Entertainment,Snapology,,Montgomery,AL,,(334) 325-4679,https://snapology.com/riverregion,,Have the best party ever with our Lego and Robotics themed birthday party. We bring the party to you. Sit back and enjoy the party while our facilitator sets up and conducts the activities. Please visit our website for more details.
