advertiser,category,business,address,city,state,zip,phone,website,email,description
,Active Entertainment Centers,2211 The Ultimate Play Zone,3541 McGehee Road,Montgomery,AL,36111,(334) 593-7180,https://2211ultimateplayzone.com,2211ultimateplayzone@gmail.com,Roller-skating Rink.
,Active Entertainment Centers,Eastdale Roller Palace,1000 Eastdale Circle,Montgomery,AL,36117,(334) 277-2088,https://shopeastdale.com,,Roller-skating on Monday-Sunday
,Active Entertainment Centers,Fun City Adventure Park,7861 EastChase Pkwy,Montgomery,AL,36117,(334) 356-2024,https://funcitymontgomery.com,,"Arcade Machines, Trampoline Courts, Rop Courses, Dodge Ball, Bumper Ball, Basketball, Battle Beam, Adventure Course, Foam Pit, Bumper Cars and much, much more!"
,Active Entertainment Centers,Launch,891 Boardroom Drive,Prattville,AL,36066,(334) 568-2041,https://launchtrampolinepark.com,info@launchprattville.com,Multiple trampoline court with different activities. Please visit our website for more details.
,Active Entertainment Centers,Montgomery White Water Park,1100 Maxwell Blvd.,Montgomery,AL,36104,(334) 746-6530,https://montgomerywhitewater.com,,"Ropes, White water rafting, Zip lines, Bouldering, Kayaking and much more."
,Active Entertainment Centers,Newtopia,3731 Malcolm Drive,Montgomery,AL,36116,(334) 356-4518,https://newtopiafunpark.com,,Indoor playground designed to keep your children happy for hours.
,Active Entertainment Centers,RC Fun Zone,11900 Hwy. 80 East,Montgomery,AL,36117,(510) 290-4742,,,Exciting plans in the works. Please check back with us.
,Active Entertainment Centers,Skatezone Wetumpka,88 Red Eagle Pkwy.,Wetumpka,AL,36092,(334) 567-4434,Facebook - Skatezone Wetumpka,,Roller-skating Rink
,Active Entertainment Centers,Sky Zone Trampoline Park,5544 Atlanta Hwy.,Montgomery,AL,36117,(334) 239-2587,https://skyzone.com/montgomery,,"Our park is full of one-of-a-kind attractions designed to push your limits, allow you to fly higher and just have tons and tons of fun. Ultimate dodge ball, toddler zone, ninja warrior course, and much more."
,Brain Support,Neurokinetic Solutions,7150 Halcyon Park Drive,Montgomery,AL,36117,(334) 625-0068,https://neurokineticsolutions.com,nksolutions007@gmail.com,A coordinated body is an organized brain. Brain pump classes and Educational Consulting offered.
,Emotional Health/Counseling,Pike Road Counseling,10519 Vaughn Road,Pike Road,AL,36064,(334) 603-1427,https://pikeroadcounseling.com,info@pikeroadcounseling.com,"Pike Road Counseling is a counseling practice that provides psychotherapy services AND Iasis Micro Current Neurofeedback to people in all phases of life. We offer a variety of therapy services for adults, adolescents, families, and children."
,Emotional Health/Counseling,Fundamentally Fit Life Coaching,,Montgomery,AL,36116,(334) 451-0225,Fundamentally Fit Life Coaching on Facebook,,"Helping clients overcome any behaviors, situations, mindsets that are keeping them STUCK in their life!"
a,Fitness Gym/Recreation Center,Prattville YMCA,Various Locations,Prattville,AL,36067,(334) 361-0268,https://prattvilleymca.org,,"Youth Fitness programs, Youth Sports and Swimming. Please call or visit our website for more details."
