advertiser,category,business,address,city,state,zip,phone,website,email,description
,ADD/ADHD,Children and Adults with Attention Deficit Disorders (C.H.A.D.D),"4221 Forbes Blvd, Suite 270",Lanham,MD,20706,(800) 233-4050,https://chadd.org,,"Provides education, advocacy and support for individuals with AD/HD."
,ADD/ADHD,Feingold Association of the United States,11849 Sun catcher Drive,Fishers,IN,46037,(631) 369-9340,https://feingold.org,,"Provides informational materials, online/telephone support, and resources. Helps families introduce low-additive dietary programs for children with learning/behavior problems and chemically sensitive adults"
,ADD/ADHD,Learning Disabilities Association of America,4156 Library Road,Pittsburgh,PA,15234,(412) 341-1515,https://ldaamerica.org,,"Offers support programs for parents, an information and referral network, legislation and school program development."
a,Allergies & Asthma,Autism Society of Alabama,4260 Cahaba Heights Court,Birmingham,AL,35243,(877) 428-8476,https://autism-alabama.org,,"Provide a resource list of services that have been recommended by families and professionals, support groups, lending library, newsletter and Education & Awareness."
a,Allergies & Asthma,Easter Seals of Central Alabama,2185 East South Blvd,Montgomery,AL,36116,(334) 288-0240,https://www.eastersealsca.org,,Our goal is to provide quality life enhancing programs and services to meet the individual needs of our consumers.
,Allergies & Asthma,Asthma and Allergy Foundation of America,1235 South Clark Street Suite 305,Arlington,VA,22202,(800) 727-8462,https://aafa.org,,"AAFA is dedicated to improving the quality of life for people with asthma and allergic diseases through education, advocacy and research."
,Allergies & Asthma,Autism Alabama,50 North Ripley Street,Montgomery,AL,36130,(334) 694-4782,https://alabamaachieves.org,,"An initiative of Special Education Services, Alabama Department of Education, to provide on-line training resources for parents and educational professionals on autism and Autism Spectrum Disorder (ASD)."
,Allergies & Asthma,Autism Hope Center,"603 Veterans Pkwy, Suite 223",Columbus,GA,31909,(706) 604-6333,https://autismhopecenter.com,,The Autism Hope Center is a free resource to both families and professionals throughout the Chattahoochee Valley. We host a monthly support group and monthly inclusive events.
,Allergies & Asthma,Autism Internet Modules,,,,,(614) 410-0321,https://autisminternetmodules.org,,"(AIM) project is designed to provide comprehensive information to assist those working and living with individuals with Autism Spectrum. The AIM project will develop a series of 60 modules by the time the project is complete on topics including assessment and identification, characteristics, evidence-based practices and interventions, transition to adulthood, and employment."
,Allergies & Asthma,Autism Society of Alabama Sibshops,4260 Cahaba Heights Court,Birmingham,AL,35243,(877) 428-8476,https://autism-alabama.org,,"Sibshops are fun events where kids who have a sibling with a disability can play fun games, share and meet other ""sibs"" who get it!"
