advertiser,category,business,location,address,city,state,zip,phone,website,email,ages,description,
a,Art/Theatre/Music,Montgomery Academy,,3240 Vaughn Road,Millbrook,AL,36106,(334) 272.8210,montgomeryacademy.org,info@montgomeryacademy.org,Age varies by camp,Information coming soon. Please check back on our website for updates.      ,
a,,Saint James School ART and STEM Camps  ,,6010 Vaughn Road,Montgomery,AL,36116,(334) 277.8033,stjmontgomery.org,,Age varies by camp,"Color Wheel Camp: Ages: Rising 1st - 3rd Grade, Dates: TBD
Color Wheel Camp: Ages:  Rising 4th - 6th Grade, Dates: TBD
STEM Camp: Rising 2nd - 5th Grade, Dates: TBD
Visit www.stjmontgomery.org for more information",
,,Abrakadoodle Summer Art Camps,,,Montgomery,AL,,(334) 265.5758,abrakadoodle.com/al-montgomery,mcornwell@abrakadoodle.com,Age varies by camp,"Wild About Animals STEAM Camp: June 3-5 at Pike Road Arts Center and June 10-12 at The Armory Learning Arts Center.
Lets Go Camping! Art Camp: June 24-26 at Pike Road Arts Center and July 8-10 at the Armory Learning Arts Center.
Both camps are 9 am to 12 pm, ages 3-5 & 6-12. Cost $170; all materials included.",
,,Alabama Shakespeare Summer Camps,ASF,1 Festival Drive,Montgomery,AL,36117,(334) 271.5353,asf.net,,Ages varies by camp,"Summer Camps 2025: June 1-July 26.  Registration is open.
Dont miss these opportunities for theatre lovers  K  12 and ADULT.
Not only will campers have lots of fun in a theatre environment, theyll also come home and return to work, community, and school with the beneficial FIVE Cs: Creativity, Collaboration, Communication, Critical Thinking, and CONFIDENCE!                                    3 camp sessions for Rising K-6 graders and 3 sessions for Rising 7th-12th graders.                                                Please visit our website for dates and registration information.",
,,Mixed Media Art Camps with Barb Grimes,Barb's on Mulberry,1923 Mulberry Street,Montgomery,AL ,36106,(334) 544.2233,,barb2shop@yahoo.com,Ages 3 and up,"BarbART classes
at Barbs on Mulberry
Tues , Wed , Thurs
June 2,3 4
June 23, 24,25
10 am & 11 am classes
$20
Paint an 11 x14 canvas
For ages 3 and up

BarbART Mixed media workshops
At Barbs on Mulberry
Tues Wed Thurs
June 9, 10, 11
June 16,17, 18
2 pm to 4 pm
$135
For ages 7 and up

Call or text Barb Grimes
At 334-546-2233 to reserve your spot",
,,Pike Road Theatre Kids Production Camps,St James Church,9045 Vaughn Road,Montgomery,AL,36116,(334) 414.0193,pikeroadtheatrecompany.org,info@pikeroadtheatrecompany.org,Age varies by camp,"Youth Production Camp: Newsies Jr.
June 1-13, 2026   9am-4pm   Saint James Church
registration:
https://PRTCNewsiesjrCamp.eventbrite.com
                                                                                             Youth Production Camp: Willy Wonka KIDS
July 23-August 1   9am-4pm   Saint James Church
registration:
https://PRTCWonkaKIDScamp.eventbrite.com                           Please visit our website for more details. ",
,,Wetumpka Depot Theatre Summer Camps,,300 South Main Street,Wetumpka ,AL,36092,(334) 868.1440,wetumpkadepot.com,,Ages 8-15,The Wetumpka Depot Players will kick off summer programs from June-July.  Enroll your students in a week-long summer program and various workshops. For dates and time contact kmeanor@wetumpkadepot.com after April 1st for more scheduling details.,
a,Dance/Gymnastics/Cheer Camps,Alabama Dance Theatre,Armory Learning Arts Center,1018 Madison Avenue,Montgomery,AL,36104,(334) 625.2590,alabamadancetheatre.com,,Age varies by camp,"June 29-July 23; The Alabama Dance Theatre will be offering summer classes in Classical Ballet (pre-ballet to the professional level), Modern, Jazz, Hip-Hop, Contemporary, Composition/Choreography and Broadway.  Classes open to ages 3 and up.
Tutus and Tiaras Camp for ages 3-8 on May 26-29 from 9:30-12:30. Classes will include pre-ballet, creative movement, crafts, and story time. Hip Hop Stars Camp for ages 7-11 on June 1-4 . Day Camps for dancer interested in Hp-Hop,  Modern, African Dance and more.                                                                                                                                                         June 8-21: Summer Intensive: This two week intensive allows dancers to attend classes with master teachers. They will perform in the Stars on the Riverfront on June 20-21 at 7:30 p.m..  Open to the public.   ",
a,,Alabama River Region Ballet   ,Festival Plaza,7981 Vaughn Road,Montgomery,AL,36116,(334) 356-5460,alabamariverregionballet.com,riverregionballet@gmail.com,Age varies by camp,"Fairytale Ballet Camp
June 15-19, Sleeping Beauty; July 13-17, Swan Lake.
Register now for the most exciting event for young dancers, ages 3  7 years old!  Each week, the dancers will learn about one fairytale ballet, meet the princess ballerina, and participate in themed crafts and activities.
Summer Dance Camp, June 15-19 and July 13-17 from 1-4 p.m.                                                                Summer Intensive, June 1-5 and  8-12.
Alabama River Region Ballet School is excited to offer a two-week Intensive Summer Seminar for intermediate and advanced students, ages 12  18 with a minimum one year of experience on pointe. Dancers will take daily classes in Ballet, Pointe, Variations, Jazz, Modern and Contemporary taught by some of the most talented guest artists and ARRB teachers. The Summer Intensive will include a repertory of classes that focuses on improving the dancers technique, as well as the opportunity to learn new choreography, and choreography from the classical repertory.
Please call for pricing.
",
a,,Tonya Speeds Dance Connection       ,,3370 Harrison Rd,Montgomery,AL,36109,(334) 549.1098,Facebook: Tonya-Speeds-Dance-Connection,,Age varies by camp,"Summer Fun Dance Camps  7 weeks of Summer, all day camps  for ages 3-11.  Dance,, Music, Dress up days, Story telling, Crafts, Interactive games and more. ",
