advertiser,category,business,address,city,state,zip,phone,website,email,ages,description
a,Art/Music/Theater,Abrakadoodle Summer Art Camps,,Montgomery,AL,,(334) 265-5758,https://abrakadoodle.com/al-montgomery,mcornwell@abrakadoodle.com,Age 3-12 yrs.,"Abrakadoodle Art Camps offer process-based, imagination-driven art and STEAM experiences that blend creativity, confidence-building, and hands-on exploration in a high-quality art environment. Our camps stand out for small group engagement, experienced instructors, and a focus on creative thinking and skill-building for all ages and experience levels. Camp tuition includes all instruction, materials, and registration fees. Host sites and dates will be available on our website: https://www.abrakadoodle.com/al-montgomery-birmingham-register/ For interest in custom camp creation for small groups or partnership with larger summer programs, contact mcornwell.abrakadoodle@gmail.com."
a,Art/Music/Theater,Saint James School ART and STEM Camps,6010 Vaughn Road,Montgomery,AL,36116,(334) 277-8033,https://stjmontgomery.org,,Age varies by camp,"Color Wheel Camp: Rising 1st - 3rd Grade, Dates TBD Color Wheel Camp: Rising 4th - 6th Grade, Dates TBD STEM Camp: Rising 2nd - 5th Grade, Dates TBD Visit www.stjmontgomery.org for more information"
,Art/Music/Theater,Alabama Shakespeare Summer Camps,1 Festival Drive,Montgomery,AL,36117,(334) 271-5353,https://asf.net,,Ages varies by camp,"Summer Camps 2026: June 1-July 26. Registration is open. Don't miss these opportunities for theatre lovers — K – 12 and ADULT. Not only will campers have lots of fun in a theatre environment, they'll also come home and return to work, community, and school with the beneficial FIVE Cs: Creativity, Collaboration, Communication, Critical Thinking, and CONFIDENCE! 3 camp sessions for Rising K-6 graders and 3 sessions for Rising 7th-12th graders. Please visit our website for dates and registration information."
,Art/Music/Theater,Armory Learning Arts Center,1018 Madison Ave.,Montgomery,AL,36104,(334) 625-2787,https://funinmontgomery.com/recreation,,Age varies by camp,"Summer 2026 Classes have been updated on our webpage. Check out our new offerings We offer kids summer art classes, adult art classes, music, dance, fitness and acting classes."
,Art/Music/Theater,ASU Tonea Stewart's Performing Arts Camp,915 S. Jackson Street,Montgomery,AL,36106,(334) 229-6755,https://asutheatrecamps.com,,,"TAPS, May 26-June 6; Camp 3T, June 21-27 and Camp Gifted, June 15-19. Please visit asutheatrecamps.com for more details."
,Art/Music/Theater,Mixed Media Art Camps with Barb Grimes,1923 Mulberry Street,Montgomery,AL,36106,(334) 544-2233,,barb2shop@yahoo.com,Ages 3 and up,"BarbART classes at Barb's on Mulberry Tues , Wed , Thurs June 2, 3, 4 June 23, 24, 25 10 A.M. & 11 A.M. classes $20 Paint an 11 x 14 canvas Ages 3 and up BarbART Mixed media workshops At Barbs on Mulberry Tues, Wed, Thurs June 9, 10, 11 June 16, 17, 18 2 P.M. to 4 P.M. $135 For ages 7 and up Call or text Barb Grimes At 334-546-2233 to reserve your spot"
,Art/Music/Theater,P'zazz Art Studio,1812 Glynnwood Drive,Prattville,AL,36066,(334) 354-1975,https://pzazzart.com,,Age varies by camp,Variety of summer camps offered from June through July. Please visit our website for Art Camps and times.
,Art/Music/Theater,Pike Road Theatre Kids Production Camps,4710 Pike Rd,Pike Road,AL,36064,(334) 414-0193,https://pikeroadtheatrecompany.org,info@pikeroadtheatrecompany.org,Age varies by camp,"Youth Production Camp: Newsies Jr. June 1-13, 2026 from 9 A.M. -4 P.M. registration: https://PRTCNewsiesjrCamp.eventbrite.com Youth Production Camp: Willy Wonka KIDS July 23-August 1 from 9 A.M. -4 P.M. registration: https://PRTCWonkaKIDScamp.eventbrite.com Please visit our website for more details."
,Art/Music/Theater,Wetumpka Depot Theatre Summer Camps,300 South Main Street,Wetumpka,AL,36092,(334) 868-1440,https://wetumpkadepot.com,,Ages 8-15,The Wetumpka Depot Players will kick off summer programs from June-July. Enroll your students in a week-long summer program and various workshops. For dates and time contact kmeanor@wetumpkadepot.com after April 1st for more scheduling details.
,Biking,Fountain City BMX Track,802 County Road 4,Prattville,AL,36067,(334) 300-4328,https://www.fountaincitybmx.com,info@fountaincitybmx.com,,Tuesday and Friday Practices. Fun for any age. Race on most Sundays. For more information please visit us on Facebook under Fountain City BMX.
,Bowling,BAMA Lanes,3020 Atlanta Highway,Montgomery,AL,36109,(334) 272-5423,https://bamalanesusa.com,,,"EAT 'n' BOWL, while lane availability lasts, until 8 p.m. daily. (Includes 3 games, shoe rental, and meal). Prices vary upon day and time"
,Bowling,BAMA Lanes in Prattville,1734 East Main Street,Prattville,AL,36066,(334) 358-8600,https://bamalanesusa.com,,,"EAT 'n' BOWL, (includes 2 games, shoe rental, and meal) Prices and times vary upon day."
,Bowling,Bowlero,1661 Eastern Blvd.,Montgomery,AL,36117,(334) 819-7171,https://bowlero.com,,,Special summer deals. Please call for more information and weekend pricing.
a,Dance/Gymnastics/Cheer Camps,Alabama Dance Theatre,1018 Madison Avenue,Montgomery,AL,36104,(334) 625-2590,https://alabamadancetheatre.com,,Age varies by camp,"Summer Classes: June 29-July 23. The Alabama Dance Theatre will be offering summer classes in Classical Ballet (pre-ballet to the professional level), Modern, Jazz, Hip-Hop, Contemporary, Composition/Choreography and Broadway. Classes open to ages 3 and up. Tutus and Tiaras Camp: ages 3-8 on May 26-29 from 9:30-12:30. Classes will include pre-ballet, creative movement, crafts, and story time. Hip Hop Stars Camp: ages 7-11 on June 1-4 . Day Camps for dancer interested in Hip-Hop, Modern, African Dance and more. Summer Intensive: June 8-21. This two week intensive allows dancers to attend classes with master teachers. They will perform in the Stars on the Riverfront on June 20-21 at 7:30 P.M. Open to the public."
a,Dance/Gymnastics/Cheer Camps,Alabama River Region Ballet,7981 Vaughn Road,Montgomery,AL,36116,(334) 356-5460,https://alabamariverregionballet.com,riverregionballet@gmail.com,Age varies by camp,"Fairytale Ballet Camp: Sleeping Beauty, June 15-19 and Swan Lake, July 13-17. Register now for the most exciting event for young dancers, ages 3 – 7 years old! Each week, the dancers will learn about one fairytale ballet, meet the princess ballerina, and participate in themed crafts and activities. Summer Dance Camp, June 15-19 and July 13-17 from 1- 4 P.M.. Summer Intensive, June 1-5 and 8-12. Alabama River Region Ballet School is excited to offer a two-week Intensive Summer Seminar for intermediate and advanced students, ages 12 – 18 with a minimum one year of experience on pointe. Dancers will take daily classes in Ballet, Pointe, Variations, Jazz, Modern and Contemporary taught by some of the most talented guest artists and ARRB teachers. The Summer Intensive will include a repertory of classes that focuses on improving the dancers' technique, as well as the opportunity to learn new choreography, and choreography from the classical repertory. Please call for pricing."
